"date","time","group","subject","session","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency","stimulusnumber1","stimulusitem1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusonset2","stimulusnumber3","stimulusitem3","stimulusonset3","stimulusnumber4","stimulusitem4","stimulusonset4","stimulusnumber5","stimulusitem5","stimulusonset5","stimulusnumber6","stimulusitem6","stimulusonset6","stimulusnumber7","stimulusitem7","stimulusonset7"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","80","block4","target_Trial_tri","0","300","0","0","57","1","393","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2194","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","81","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","853","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","82","block4","target_Trial_tri","0","300","0","0","57","1","381","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2182","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","83","block4","target_Trial_tri","0","300","0","0","57","1","401","1","+","1","1","Tri_00_white.png","854","1","","1054","1","Tri_90_white.png","1907","1","","1054","1","correct_grey.png","2202","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","84","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","85","block4","invalid_Trial_rec","0","300","0","0","57","0","515","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","incorrect_grey.png","2316","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","86","block4","target_Trial_rec","0","300","0","0","57","1","405","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2206","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","87","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1054","1","Tri_90_white.png","1907","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","88","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","89","block4","target_Trial_rec","0","300","0","0","57","1","486","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2287","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","90","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","853","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","91","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","92","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","853","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","93","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","94","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1054","1","Tri_90_white.png","1906","1","","1054","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","95","block4","target_Trial_tri","0","300","0","0","57","1","435","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Tri_90_white.png","1907","1","","1054","1","correct_grey.png","2236","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","96","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","97","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","853","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","98","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1054","1","Tri_90_white.png","1907","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","99","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","853","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","100","block4","Break","0","0","0","0","57","1","1232","1","Please take a few seconds to rest your eyes.     When you're ready to continue, please press the spacebar.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","101","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Rec_90_white.png","1906","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","102","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","103","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","104","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","853","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","105","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","853","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","106","block4","target_Trial_tri","0","300","0","0","57","1","470","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2270","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","107","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","853","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","108","block4","target_Trial_tri","0","300","0","0","57","1","542","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Tri_90_white.png","1907","1","","1054","1","correct_grey.png","2342","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","109","block4","target_Trial_rec","0","300","0","0","57","1","484","1","+","0","1","Rec_00_white.png","853","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2284","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","110","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","853","1","","1054","1","Tri_90_white.png","1906","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","111","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1054","1","Tri_90_white.png","1906","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","112","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1054","1","Tri_90_white.png","1906","1","","1054","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","113","block4","target_Trial_rec","0","300","0","0","57","1","425","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2226","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","114","block4","target_Trial_rec","0","300","0","0","57","1","436","1","+","0","1","Rec_00_white.png","853","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2237","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","115","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","1","1","Tri_00_white.png","853","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","116","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","853","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","117","block4","target_Trial_tri","0","300","0","0","57","1","414","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1907","1","","1053","1","correct_grey.png","2215","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","118","block4","target_Trial_tri","0","300","0","0","57","1","450","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1907","1","","1053","1","correct_grey.png","2251","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","119","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","120","block4","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","853","1","","1054","1","Tri_90_white.png","1906","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","121","block4","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Rec_90_white.png","1907","1","","1054","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","8","122","block4","target_Trial_rec","0","300","0","0","57","1","473","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2274","0","0","0"
